# accel_bits: 16
# accel_range_g: 16
# accel_source: IIS3DWBG1
# axis_orientation: x=primary_balance_axis,y=secondary,z=fore_aft
# optical_reference: 0_deg_top_dead_center_viewed_from_spinner_side
# rotation_direction: CW_viewed_from_spinner_side
# rpm_mean: 2300.000
# sample_name: rough_harmonics
# target_revolutions: 120
# tick_rate_hz: 1000000
# vibsense_csv_version: 2
tick,rev_offset,phase_deg,ax,ay,az,source,range_g,bits
0,0,0.000000000,-918,-476,-197,2,16,16
150,0,2.069974125,-975,-517,-192,2,16,16
300,0,4.139948251,-996,-545,-188,2,16,16
450,0,6.209922376,-1016,-560,-216,2,16,16
600,0,8.279896501,-1027,-572,-221,2,16,16
750,0,10.349870627,-1059,-578,-249,2,16,16
900,0,12.419844752,-1076,-605,-246,2,16,16
1050,0,14.489818877,-1076,-590,-265,2,16,16
1200,0,16.559793003,-1034,-592,-227,2,16,16
1350,0,18.629767128,-994,-609,-234,2,16,16
1500,0,20.699741253,-986,-583,-213,2,16,16
1650,0,22.769715379,-971,-547,-238,2,16,16
1800,0,24.839689504,-916,-507,-226,2,16,16
1950,0,26.909663629,-811,-498,-162,2,16,16
2100,0,28.979637755,-771,-459,-169,2,16,16
2250,0,31.049611880,-734,-409,-161,2,16,16
2400,0,33.119586005,-627,-391,-114,2,16,16
2550,0,35.189560130,-565,-347,-137,2,16,16
2700,0,37.259534256,-470,-308,-102,2,16,16
2850,0,39.329508381,-379,-228,-64,2,16,16
3000,0,41.399482506,-294,-174,-50,2,16,16
3150,0,43.469456632,-181,-143,-25,2,16,16
3300,0,45.539430757,-103,-110,21,2,16,16
3450,0,47.609404882,-25,-70,32,2,16,16
3600,0,49.679379008,78,-9,62,2,16,16
3750,0,51.749353133,167,48,77,2,16,16
3900,0,53.819327258,200,116,111,2,16,16
4050,0,55.889301384,297,125,131,2,16,16
4200,0,57.959275509,350,139,106,2,16,16
4350,0,60.029249634,425,201,147,2,16,16
4500,0,62.099223760,458,249,199,2,16,16
4650,0,64.169197885,528,238,170,2,16,16
4800,0,66.239172010,565,239,194,2,16,16
4950,0,68.309146136,592,266,187,2,16,16
5100,0,70.379120261,602,284,186,2,16,16
5250,0,72.449094386,630,296,226,2,16,16
5400,0,74.519068512,626,351,214,2,16,16
5550,0,76.589042637,623,315,182,2,16,16
5700,0,78.659016762,647,299,162,2,16,16
5850,0,80.728990888,613,290,204,2,16,16
6000,0,82.798965013,638,304,201,2,16,16
6150,0,84.868939138,609,262,185,2,16,16
6300,0,86.938913264,535,251,172,2,16,16
6450,0,89.008887389,547,260,154,2,16,16
6600,0,91.078861514,491,256,132,2,16,16
6750,0,93.148835640,477,189,119,2,16,16
6900,0,95.218809765,443,188,128,2,16,16
7050,0,97.288783890,370,179,95,2,16,16
7200,0,99.358758016,366,157,91,2,16,16
7350,0,101.428732141,330,138,80,2,16,16
7500,0,103.498706266,317,113,91,2,16,16
7650,0,105.568680391,246,91,81,2,16,16
7800,0,107.638654517,249,114,50,2,16,16
7950,0,109.708628642,188,69,25,2,16,16
8100,0,111.778602767,175,6,31,2,16,16
8250,0,113.848576893,143,11,25,2,16,16
8400,0,115.918551018,164,32,31,2,16,16
8550,0,117.988525143,130,30,27,2,16,16
8700,0,120.058499269,149,-13,5,2,16,16
8850,0,122.128473394,105,19,4,2,16,16
9000,0,124.198447519,100,19,12,2,16,16
9150,0,126.268421645,93,12,-3,2,16,16
9300,0,128.338395770,63,-23,40,2,16,16
9450,0,130.408369895,70,25,5,2,16,16
9600,0,132.478344021,95,11,11,2,16,16
9750,0,134.548318146,64,16,3,2,16,16
9900,0,136.618292271,76,2,-10,2,16,16
10050,0,138.688266397,74,30,-19,2,16,16
10200,0,140.758240522,88,35,2,2,16,16
10350,0,142.828214647,72,4,23,2,16,16
10500,0,144.898188773,78,4,23,2,16,16
10650,0,146.968162898,85,18,23,2,16,16
10800,0,149.038137023,83,32,35,2,16,16
10950,0,151.108111149,64,70,21,2,16,16
11100,0,153.178085274,93,59,38,2,16,16
11250,0,155.248059399,50,16,31,2,16,16
11400,0,157.318033525,46,13,-38,2,16,16
11550,0,159.388007650,37,48,13,2,16,16
11700,0,161.457981775,70,8,1,2,16,16
11850,0,163.527955901,36,10,12,2,16,16
12000,0,165.597930026,14,-1,-10,2,16,16
12150,0,167.667904151,0,-29,25,2,16,16
12300,0,169.737878277,16,-3,28,2,16,16
12450,0,171.807852402,-24,-16,8,2,16,16
12600,0,173.877826527,-41,8,-4,2,16,16
12750,0,175.947800652,-20,-18,7,2,16,16
12900,0,178.017774778,-65,-5,7,2,16,16
13050,0,180.087748903,-61,-39,-9,2,16,16
13200,0,182.157723028,-66,-27,7,2,16,16
13350,0,184.227697154,-84,10,18,2,16,16
13500,0,186.297671279,-85,8,7,2,16,16
13650,0,188.367645404,-67,-6,6,2,16,16
13800,0,190.437619530,-105,-13,-6,2,16,16
13950,0,192.507593655,-122,-5,7,2,16,16
14100,0,194.577567780,-133,-28,48,2,16,16
14250,0,196.647541906,-102,14,5,2,16,16
14400,0,198.717516031,-102,-37,29,2,16,16
14550,0,200.787490156,-85,2,20,2,16,16
14700,0,202.857464282,-91,-10,8,2,16,16
14850,0,204.927438407,-82,-11,-12,2,16,16
15000,0,206.997412532,-76,41,12,2,16,16
15150,0,209.067386658,-60,14,44,2,16,16
15300,0,211.137360783,-35,27,44,2,16,16
15450,0,213.207334908,-31,12,81,2,16,16
15600,0,215.277309034,-7,30,85,2,16,16
15750,0,217.347283159,40,68,54,2,16,16
15900,0,219.417257284,30,86,73,2,16,16
16050,0,221.487231410,8,101,94,2,16,16
16200,0,223.557205535,82,86,96,2,16,16
16350,0,225.627179660,71,94,64,2,16,16
16500,0,227.697153786,60,89,116,2,16,16
16650,0,229.767127911,105,107,122,2,16,16
16800,0,231.837102036,99,140,125,2,16,16
16950,0,233.907076162,96,140,128,2,16,16
17100,0,235.977050287,103,143,126,2,16,16
17250,0,238.047024412,103,143,131,2,16,16
17400,0,240.116998538,126,123,141,2,16,16
17550,0,242.186972663,147,167,159,2,16,16
17700,0,244.256946788,124,102,165,2,16,16
17850,0,246.326920913,138,157,115,2,16,16
18000,0,248.396895039,164,136,155,2,16,16
18150,0,250.466869164,107,163,146,2,16,16
18300,0,252.536843289,132,142,163,2,16,16
18450,0,254.606817415,121,129,170,2,16,16
18600,0,256.676791540,107,144,142,2,16,16
18750,0,258.746765665,107,170,160,2,16,16
18900,0,260.816739791,126,157,181,2,16,16
19050,0,262.886713916,136,185,195,2,16,16
19200,0,264.956688041,122,131,182,2,16,16
19350,0,267.026662167,137,154,173,2,16,16
19500,0,269.096636292,156,166,176,2,16,16
19650,0,271.166610417,158,147,188,2,16,16
19800,0,273.236584543,180,178,178,2,16,16
19950,0,275.306558668,187,174,186,2,16,16
20100,0,277.376532793,203,210,205,2,16,16
20250,0,279.446506919,246,224,219,2,16,16
20400,0,281.516481044,245,203,218,2,16,16
20550,0,283.586455169,259,220,223,2,16,16
20700,0,285.656429295,293,242,242,2,16,16
20850,0,287.726403420,289,249,218,2,16,16
21000,0,289.796377545,326,255,248,2,16,16
21150,0,291.866351671,373,277,264,2,16,16
